Gene Name,"'Astrocytoma, Pilocytic' vs 'normal'.foldChange",'ependymoma' vs 'normal'.foldChange,'glioblastoma' vs 'normal'.foldChange,'medulloblastoma' vs 'normal'.foldChange
VPS37A,-0.2,-0.3,0.2,0.3
KIF5A,-1.6,-2.0,-1.7,-1.5
NAT2,,1.1,0.2,-0.1
MAGEA8,,0.1,0.1,0.2
PSD3,-1.9,-1.6,-1.7,-2.0
CARNMT1,0.2,-0.3,,-0.4
MCU,-0.6,-0.6,-0.9,-0.8
MIDEAS,0.1,0.3,0.3,0.3
CFAP70,-0.2,3.1,-0.1,-0.7
GNA14,0.1,-0.9,-0.1,-1.5
FAM161B,-0.1,,-0.1,0.1
GNAQ,-0.3,-0.8,-0.5,-0.9
WIF1,-2.3,-1.1,-3.6,-4.4
UGT2B4,-0.1,-0.2,-0.2,-0.2
GPR61,-0.1,-0.3,-0.2,-0.2
MMP16,2.2,0.3,1.1,0.3
ADK,0.2,0.5,,0.1
KCNMA1,0.9,-0.4,-0.8,-1.5
BATF,-0.3,-0.5,-0.3,-0.5
DCK,-0.2,-0.4,-0.1,0.2
ADAMTS3,-0.7,2.6,1.1,-0.6
ALX3,-0.3,-0.3,-0.2,-0.4
DPY19L4,1.6,1.4,1.2,0.6
NDUFAF6,,-0.2,0.3,0.3
DRAM2,1.4,1.0,1.0,0.9
C8orf37,0.8,2.0,0.6,-0.3
PPEF2,,-0.2,-0.2,
CFAP161,-0.2,1.9,,-0.2
ADAMTSL3,-0.1,0.1,-0.1,-0.1
ART3,-0.6,-1.2,-0.8,-1.5
SLC28A1,-0.1,0.1,,-0.1
WHAMM,-0.4,-0.4,-0.3,-0.5
CXCL13,-0.1,0.1,0.2,0.5
N6AMT1,0.3,0.7,0.6,0.1
RWDD2B,0.2,,0.3,0.1
USP16,0.3,0.3,0.2,0.4
CCT8,-0.2,,0.3,0.7
MAP3K7CL,2.1,0.5,1.3,0.1
NAA11,-0.1,-0.1,0.1,-0.1
BACH1,1.6,0.9,1.2,1.3
CLDN17,0.2,0.1,0.2,0.1
CLDN8,,-0.1,,0.1
TSPAN7,0.1,-1.1,-1.0,-1.2
TIAM1,-0.6,-1.3,-1.3,-1.3
SCAF4,0.1,,0.3,0.7
RPGR,0.7,1.9,0.6,-0.3
CDK20,-0.7,,-0.3,-0.3
ANKRD9,-2.9,-1.7,-1.8,-2.1
SFR1,0.4,0.7,0.3,0.6
SORCS3,1.2,-2.3,-0.6,-2.0
SFXN2,0.7,0.8,0.8,0.7
ATP5MJ,-0.6,-0.6,-0.5,-0.4
FUT6,,0.1,-0.1,-0.1
TDRD9,-2.0,0.4,-1.6,-0.4
FGF18,-0.8,-0.2,-0.5,-0.4
PCDH1,0.3,-0.2,0.1,-0.4
SH3RF2,,0.1,,-0.1
UQCRB,,,-0.3,-0.2
MTERF3,,0.1,0.4,0.4
PTDSS1,-0.1,-0.6,-0.1,-0.5
PPP2R2B,-0.4,-1.0,-1.0,-2.6
RPL30,0.3,0.3,0.4,0.5
KCNS2,-0.5,-0.6,-0.4,
PABIR3,0.2,0.9,0.5,
SUPV3L1,-0.5,-0.5,-0.4,0.2
PABIR2,,-0.8,-0.1,-0.4
EEF1A1,1.2,1.4,0.7,1.4
FBXO43,0.2,0.4,0.8,1.2
HKDC1,0.4,1.8,0.8,-0.2
HK1,-0.6,-0.4,-0.6,-0.6
TYSND1,0.4,0.1,0.2,0.2
PHF6,0.5,0.3,0.6,0.9
CD109,1.4,2.1,1.3,-0.5
LRFN2,-0.2,-1.0,-0.9,-0.7
NODAL,0.2,0.4,0.5,0.3
UBE2L6,0.8,0.1,0.4,
ZDHHC5,,-0.1,0.2,
MED19,-0.3,-0.4,-0.1,0.2
ZFAND3,0.5,0.5,0.3,0.2
NPTN,-0.8,-1.1,-1.0,-1.2
KAT6B,0.1,,-0.2,1.2
SAMD8,0.6,-0.2,-0.3,-0.8
RAB11FIP1,-0.1,0.5,-0.5,-0.4
UNC5D,-2.2,-3.6,-2.1,0.3
GLYATL2,0.3,-0.2,,0.1
UTP14A,0.6,0.3,0.7,0.8
AIFM1,-0.2,0.4,0.2,0.6
MAPK13,-0.8,-0.6,-0.2,-0.3
BAG4,-0.9,-1.1,-0.8,-0.4
MS4A1,0.4,0.4,0.5,0.4
TBC1D31,-0.6,0.1,0.1,0.3
NTAQ1,-0.1,-0.4,-0.2,0.3
ATAD2,0.3,1.1,1.4,1.7
FBXO32,0.1,-0.1,-0.2,-1.4
NSMCE2,0.1,0.3,0.3,0.5
ZNF689,0.4,0.1,0.2,0.4
PRR14,,,0.1,0.3
FBRS,-0.3,-0.1,-0.4,-0.2
FRRS1,,0.1,0.1,
PHKG2,-0.2,-0.4,-0.3,-0.4
SASS6,0.4,0.6,0.9,1.3
COX6A2,0.1,-0.4,-0.3,-0.4
ITGAD,,,0.1,
ADGRG4,0.1,,0.1,0.1
ZIC3,-0.3,1.3,-0.4,2.4
MALSU1,0.3,0.1,0.5,
VPS8,-0.5,-0.7,-0.4,-0.3
GALK2,-0.5,-0.4,-0.8,-0.1
LHFPL4,-1.2,-2.6,-1.2,0.4
B3GNT7,2.7,,1.0,-0.7
MPV17L,0.4,0.4,0.5,0.3
BUB1B,0.9,1.8,3.2,3.8
PDE6D,0.3,-0.2,-0.2,-0.4
EIF4A2,-0.5,-0.6,-0.7,-0.4
BRPF1,-0.2,-0.3,,0.4
RPUSD3,-0.2,-0.8,-0.4,-0.5
SST,-5.1,-5.2,-4.2,-4.2
TATDN2,-0.3,-0.6,-0.2,0.1
GHRL,0.3,0.2,0.3,0.2
SEC13,0.6,0.4,0.7,0.5
EXOG,0.3,-0.4,0.1,0.2
NTAN1,-0.3,-0.6,-0.1,-0.2
SHCBP1L,,-0.2,-0.2,-0.1
NMNAT2,-2.1,-2.0,-2.6,-1.6
ZFYVE9,-0.7,-0.7,-0.9,-0.6
ATP2B2,-3.2,-2.7,-3.1,-3.1
LYZL4,-0.4,-0.4,-0.3,-0.5
SLC6A1,-0.8,-2.0,-2.1,-3.4
SMG1,-0.5,-0.6,-0.1,0.1
FCHO2,0.3,-0.2,,0.2
RBPMS,0.7,0.5,0.6,-0.6
KLHL40,-0.1,-0.1,,
C8A,-0.1,-0.1,-0.1,-0.1
TIMP4,3.3,-0.1,2.2,0.5
SYN2,-3.9,-4.9,-3.9,-3.6
NRG1,-2.9,-1.8,-2.4,-1.1
ODR4,0.6,1.2,1.0,0.3
CPT2,0.1,0.2,0.1,-0.1
NECAP2,1.2,1.5,1.0,0.2
LRP8,-1.0,-1.2,-0.8,0.9
PAXIP1,0.1,,0.8,1.3
STEAP2,-0.9,-1.3,-1.4,-2.1
SSBP3,-1.3,0.4,-1.1,0.4
HTR5A,-1.0,-1.0,-0.9,-0.8
CLDN12,0.2,-0.3,0.4,-0.2
MMP14,0.4,0.9,0.9,0.5
FZD1,0.2,1.2,0.3,1.5
GATAD1,0.5,0.7,0.6,0.5
SUSD3,0.7,-0.1,0.1,-0.6
TMED6,,0.2,0.1,
C1orf158,,3.1,0.3,-0.1
ARMC12,0.1,0.4,0.4,0.2
DDX19B,0.7,0.5,0.5,1.2
ST3GAL2,-0.5,-0.6,-0.4,-0.1
FCSK,0.3,0.4,0.2,
IL34,-0.9,-0.6,-0.9,-0.6
DHRS1,1.1,0.9,0.4,0.3
CACNA1D,-0.3,-1.5,-1.0,-1.2
ARSL,0.8,0.7,0.9,0.2
KIT,-1.7,-1.9,-1.8,-1.4
HYDIN,0.3,0.4,0.1,0.4
AASDH,-0.1,0.6,-0.1,-0.1
ZNF19,0.4,1.1,0.5,0.6
CACNA2D3,-2.9,-2.4,-3.1,-1.8
RNF111,-0.2,-0.4,-0.4,-0.1
CCNB2,1.0,1.9,3.2,4.2
FAM81A,-1.9,-0.5,-1.2,-1.3
MYO1E,0.2,1.4,1.0,0.3
APPL1,,-0.5,0.1,-0.2
PWWP3B,-1.3,-2.2,-2.1,-2.9
AFAP1L1,0.8,0.6,1.1,
TSC22D3,-0.4,-0.8,-0.5,-0.5
VPS26C,0.4,,0.5,-0.1
DYRK1A,-0.4,-0.2,-0.2,0.2
KCNJ6,-3.0,-3.1,-2.7,-1.2
KCNJ15,,,,-0.1
ERG,0.2,0.1,,-0.2
ETS2,-0.5,-1.0,-0.9,-1.4
TSPAN18,,1.4,0.7,1.8
LCA5L,0.1,1.2,0.2,0.1
TMEM164,0.6,0.6,0.5,0.8
MX1,1.0,0.7,0.7,-1.4
CREB3L1,1.3,-0.5,0.1,-0.6
C2CD2,0.3,0.1,,-0.8
TAB3,-0.1,-0.2,,0.4
SLC38A10,0.8,1.2,0.6,0.6
C9orf43,-0.2,0.1,,
PALM2AKAP2,-3.0,-2.3,-2.0,-2.8
ZNF618,0.6,1.4,0.4,2.0
DGKI,-0.4,-0.5,-0.5,-1.5
TMEM268,-1.4,-1.5,-1.1,-0.9
SVOPL,-0.3,0.6,-0.1,-0.1
SNX22,2.0,-0.5,0.2,-0.6
UBN2,0.1,0.1,0.1,0.5
BRAF,-0.9,-1.1,-1.0,-0.3
SLC34A2,0.3,0.5,0.3,
ACAN,2.4,0.3,0.7,-0.1
PSMG3,-0.5,-0.4,0.1,-0.1
CABP1,-2.2,-3.0,-2.6,-3.0
WDR19,-0.4,0.7,-0.2,0.1
SLC37A3,0.5,-0.3,0.4,0.4
AP3S2,-0.2,-0.4,-0.6,-0.6
FMNL2,0.1,-0.2,-0.2,
GAREM2,-0.2,,0.1,-1.1
SPPL3,0.2,-0.1,,0.3
DPYSL5,-0.8,-0.5,-0.1,1.0
DRC1,0.3,2.9,0.6,0.1
RAB28,,,-0.2,-0.3
PRXL2B,-1.2,-0.6,-0.9,-1.3
TNFRSF14,-0.1,-0.2,,-0.4
PANK4,-0.5,-0.7,-0.4,-0.2
CIB4,,0.1,,-0.2
MEGF11,3.4,,0.3,-0.8
C12orf43,-0.1,-0.3,-0.1,-0.2
PEX10,,0.3,0.1,-0.3
RER1,0.8,0.8,1.0,0.6
RADIL,-0.4,-0.3,-0.6,0.5
SKI,,0.1,-0.4,-0.5
WIPI2,-0.5,-0.4,-0.3,-0.5
LDLRAP1,-0.5,-0.1,-0.3,-0.8
AGAP1,0.7,-0.7,0.3,0.3
KRTCAP3,-0.4,0.1,,0.2
PAFAH2,0.4,0.3,0.4,0.1
EXTL1,,-1.3,-1.2,-1.5
SLC30A2,,0.3,0.1,
BABAM2,0.2,0.1,0.1,-0.2
TRIM63,0.1,-0.1,-0.3,-0.4
CFAP251,-0.3,2.1,,-0.3
MRPL17,-0.1,,0.3,-0.3
DUSP2,-0.9,-1.1,-0.8,-0.7
GRHL3,0.7,1.2,0.5,-0.2
UBXN11,,1.5,0.2,
NLRP14,0.2,0.5,0.2,0.4
PTPDC1,-0.5,-0.6,-0.3,-0.7
GALNT14,-1.3,-1.3,-0.7,0.2
NCK1,0.3,0.1,0.5,0.3
HPD,,1.1,0.3,-0.1
RHPN1,-0.4,0.1,-0.4,-0.7
TPRG1L,-1.7,-1.4,-1.7,-1.9
LRRC43,0.1,0.2,,-0.1
PRXL2C,0.9,0.8,1.0,
XDH,0.1,,,-0.1
XKR8,0.2,-0.1,0.2,0.1
CNNM4,-0.6,-0.8,-0.5,-0.3
EYA3,0.1,0.2,0.2,0.4
DZIP1L,0.4,0.9,0.3,0.4
TMSB15A,2.6,1.7,3.9,5.6
FANCC,,0.4,0.6,1.2
MRAS,-0.3,-1.2,-0.9,-1.4
WASF2,1.0,0.8,0.6,0.2
ABHD3,0.3,-0.2,0.4,-0.8
ESYT3,-0.7,-1.1,-1.0,-1.2
FAIM,1.1,1.2,0.8,0.5
TENT5B,0.8,1.5,0.7,0.1
CLSTN2,-1.3,-1.1,-1.5,0.7
COLEC12,1.6,1.2,-0.4,-0.1
RNF207,0.1,,,
CUL4B,0.1,-0.1,0.2,0.3
GPR153,-0.2,-0.3,-0.1,
SLC13A3,-0.9,0.2,-0.4,-0.5
GPRASP2,-1.0,-1.2,-1.1,-0.3
RHBDL2,-0.2,-0.3,-0.2,-0.4
AUTS2,-1.8,-0.1,-0.4,1.2
SHROOM4,0.4,-0.4,0.1,-0.6
CDC25C,0.2,0.4,1.2,2.0
H4C8,-0.1,0.3,0.5,-0.1
MITD1,0.7,0.9,1.0,0.9
EIF5B,0.4,0.1,0.2,-0.2
RIBC1,-0.1,2.3,0.1,0.1
CNOT11,0.2,0.3,0.4,0.2
KCNB1,-1.1,-2.2,-2.4,-2.1
TSPAN33,0.2,1.6,-0.1,-0.8
NRG2,-0.2,-0.2,-0.7,-1.1
AHCYL2,0.3,0.2,0.1,-1.2
B4GALT5,1.0,0.3,0.8,0.2
CD1D,1.1,,0.2,-0.3
CD1A,,0.1,0.3,
SPATA2,-1.3,-0.9,-1.1,-1.4
CD1C,0.4,0.1,0.2,0.2
CD1B,0.1,,0.2,-0.2
DNAH3,-0.2,0.1,-0.1,-0.2
CD1E,-0.1,-0.2,-0.2,-0.1
HMHB1,-0.2,-0.1,-0.2,-0.2
CPA2,0.1,0.1,0.3,0.1
CPA5,-0.2,-0.2,-0.1,-0.1
TSR2,-0.6,-0.5,-0.7,-0.7
PPP1R9A,-1.1,-1.4,-1.5,-0.9
ZC3H18,0.1,0.1,0.3,0.4
ZFAND2B,-0.4,-0.3,-0.1,-0.3
POM121L2,-0.1,-0.4,-0.2,-0.3
GDPD5,-0.5,-1.5,-1.6,-0.8
DYNC1I1,-2.7,-3.0,-2.9,-1.2
PFKFB1,0.1,,0.2,-0.1
ALAS2,-0.9,-1.0,-1.0,-1.2
TMED4,0.7,1.1,0.9,0.8
PPP1R15B,0.1,0.3,0.5,0.3
COPG2,0.7,0.5,0.5,1.1
EMSY,-0.3,0.1,,0.6
PAGE5,-0.6,-0.4,-0.5,-0.1
GPAT4,0.4,-0.2,0.2,0.3
PKD1L1,0.4,0.4,0.4,0.2
ZSCAN12,0.3,0.2,0.5,0.8
TAGLN2,1.2,2.4,1.8,0.5
ELK4,0.7,0.4,0.6,0.2
SLAMF8,0.3,0.2,0.6,-0.2
SLC45A3,-0.6,-0.6,-0.1,-0.7
DUSP23,-0.1,,-0.2,-0.3
RNF166,0.7,0.5,0.7,0.6
NBL1,-0.8,-1.6,-1.2,-0.7
HTR6,-0.5,-0.3,-0.2,-0.3
USF1,-0.4,-0.4,-0.2,
PLA2G2F,0.2,0.3,0.2,
SPATA2L,-0.9,-1.1,-0.7,-1.1
NIT1,-0.1,0.3,0.1,
DEDD,,0.3,0.3,0.3
ZNF276,-0.2,-0.5,-0.2,-0.4
NPM2,-1.5,-1.5,-1.4,-1.4
EDA,0.1,0.9,-0.1,0.2
FGF17,-0.7,-0.6,-0.6,-0.4
VWA5B1,,0.4,,-0.1
CDA,0.7,0.2,0.3,-0.1
PINK1,-0.8,-1.0,-1.3,-1.5
B4GALT3,,-0.2,0.2,0.3
DMTN,-2.3,-1.7,-1.8,-2.4
ADAMTS4,0.1,,,
FAM160B2,0.1,0.1,,-0.2
NDUFS2,-0.1,-0.2,0.2,0.2
SLC5A11,-1.5,-1.5,-1.1,-1.4
FCER1G,1.4,0.6,1.2,-0.5
APOA2,-0.3,-0.2,-0.2,-0.1
TOMM40L,-0.6,-1.1,-0.5,-0.7
MPZ,0.8,0.1,0.5,
WFDC8,0.3,0.2,0.3,0.3
CCAR2,-0.3,-0.1,-0.1,0.1
WNT9B,-0.3,-0.2,-0.3,-0.2
CACHD1,-0.4,0.9,-0.2,0.4
CDC42SE2,-0.9,-0.2,-0.9,-0.9
RAPGEF6,0.4,-0.3,0.2,0.3
EPB41,-0.5,-0.4,0.5,2.4
MIS18A,0.3,0.6,1.5,1.9
ALG8,0.7,0.8,1.0,0.4
FBXW5,-0.5,-0.3,-0.3,-0.8
CFAP298,0.3,0.7,0.4,0.9
SYNJ1,-1.2,-2.4,-1.5,-1.6
PAXBP1,0.7,0.6,1.2,1.5
IFNAR2,1.0,0.6,0.8,0.2
MRPL10,-0.1,-0.2,,0.3
IFNGR2,0.6,-0.1,0.6,0.3
GART,1.0,1.1,1.4,1.4
SON,0.3,0.6,0.5,0.6
DONSON,0.3,1.0,1.0,1.2
SV2A,-0.9,-2.6,-1.3,-2.0
LAD1,0.4,0.3,0.5,0.4
STC1,0.3,0.1,0.5,
TNNI1,,,,0.4
CSRP1,-1.0,,-1.2,-3.0
PRAC1,,-0.1,,
HOXB13,0.1,,0.3,
C1QC,1.5,0.4,0.9,-0.3
KCNE2,-0.1,-0.3,-0.3,-0.3
ATP5MC1,-0.4,-0.6,-0.5,-0.2
RCAN1,0.9,,0.6,-1.1
UBE2Z,-0.2,0.1,,0.3
CIART,-0.5,-0.4,-0.5,-0.5
SNF8,0.2,0.2,0.4,0.7
CLIC6,1.8,1.9,0.3,0.7
CCDC24,-0.6,0.5,-0.5,-0.5
RUNX1,2.3,1.3,2.0,0.3
IGF2BP1,-0.2,0.7,-0.1,0.1
GIP,,0.1,0.1,
CBR1,0.1,-0.4,,-1.3
CBR3,0.9,-0.2,0.9,-0.2
TUBBP5,-1.1,-0.6,-1.0,-1.0
GJD2,0.4,0.4,0.5,0.6
ACTC1,0.9,0.6,1.0,1.9
MORC3,0.2,-0.2,0.3,0.5
CHAF1B,-0.6,-0.3,0.1,0.5
CLDN14,-0.4,-0.3,-0.3,-0.3
SIM2,,-0.2,0.8,0.5
HLCS,,0.1,0.1,
SCUBE1,-0.5,-0.4,-0.5,-0.4
ARHGAP27,0.1,-0.4,-0.3,-0.5
ADPGK,0.3,0.1,0.5,0.6
PTMS,0.3,0.3,0.3,1.3
PADI4,-0.4,-0.5,-0.3,-0.6
ADIPOR1,,-0.1,0.1,-0.3
CYB5R1,0.2,0.2,-0.1,-0.5
PSMD4,-0.1,0.1,0.2,0.3
ATP13A2,-0.7,-0.8,-1.1,-0.8
M1AP,,0.3,-0.2,-0.2
PSMB4,-0.1,-0.1,0.4,0.3
BTG2,1.0,0.6,0.6,-0.2
CES5A,,-0.1,,
HK2,1.2,1.7,1.7,1.4
C1R,3.0,1.9,1.5,0.3
CELF3,-0.6,-0.6,-0.6,0.4
ALDH4A1,-0.1,-0.2,-0.8,-1.4
STARD9,0.1,-0.3,0.2,1.0
THEM4,0.3,0.2,0.2,-0.3
TCHH,-0.5,-0.8,-0.5,-0.6
UBR1,0.2,-0.3,,0.1
AMFR,0.3,0.2,0.1,-0.5
MED8,-0.5,-0.9,-0.6,-0.7
TGM7,0.1,0.1,0.1,
RGL4,-0.3,-0.4,-0.3,-0.2
SPRR2G,,,0.1,
PGLYRP3,-0.1,-0.1,,
ISL2,,-0.1,0.8,0.6
RSPRY1,0.8,0.3,0.7,0.8
CCDC17,0.1,,0.1,0.3
GPBP1L1,,0.1,-0.1,
NAE1,0.3,0.5,0.5,0.9
TMEM69,0.4,0.5,0.6,0.6
ADGRG5,0.4,-0.4,-0.4,-0.3
DRC7,0.1,2.1,0.1,-0.1
ACE,0.4,0.4,0.3,0.3
TEPP,-0.3,-0.2,-0.1,-0.3
UROC1,-0.2,-0.2,-0.2,0.1
EFCAB14,0.1,0.1,-0.3,-0.9
SPON2,0.3,-0.2,0.7,1.8
CHCHD6,-0.9,-0.8,-0.6,-0.5
CTBP1,-0.4,-0.2,-0.2,0.2
LRRC36,0.1,0.4,0.3,0.2
ZDHHC1,0.2,1.0,0.1,0.1
ATP6V0D1,-0.5,-0.4,-0.5,-0.2
AGRP,,-0.1,-0.1,
ZFYVE28,-1.0,-1.4,-1.3,-1.8
CARMIL2,-0.5,-0.4,-0.5,-0.4
C16orf86,,-0.2,-0.2,-0.1
PIP,0.1,0.1,0.1,
FAM131B,-0.4,-3.0,-1.1,-1.6
RGS12,-0.8,-1.2,-0.5,-0.7
PSKH1,0.7,0.7,0.5,0.2
ZYX,1.0,0.3,1.0,0.1
ABR,-0.6,-0.2,-1.2,-1.9
LYPD5,-0.6,-0.6,-0.5,-0.7
CCDC117,-0.3,-0.3,-0.2,0.5
ZNF230,0.2,0.3,0.3,0.7
CCDC107,-0.2,,-0.2,-0.4
ZNF222,,-0.2,0.1,0.4
NPR 2.00,0.5,0.2,0.3,0.5
ZNF221,-0.1,,,0.2
ZNF233,-0.3,-0.1,-0.4,
ZNF235,0.4,0.5,0.5,0.8
GNE,0.1,-0.5,0.1,0.8
TNFRSF13C,0.1,0.1,0.1,0.2
OR3A3,,-0.1,-0.1,0.1
ARHGAP35,-0.6,-0.5,-0.7,-0.1
PTGIR,0.3,0.2,0.2,0.2
CALM3,-1.4,-1.9,-1.8,-1.5
DFFA,0.2,0.3,0.1,
CCDC28B,0.4,0.2,0.3,0.5
IQCC,-0.5,-0.2,-0.4,-0.2
TMEM234,0.4,0.5,0.2,0.1
BSDC1,-0.6,-0.8,-0.6,-0.2
ATAD3B,-0.3,-0.2,-0.2,
SSU72,-0.4,-0.2,-0.4,-0.2
UBE2J2,0.2,0.5,0.5,0.7
ZNF362,0.3,,0.1,0.4
FNDC5,-1.7,-2.1,-1.8,0.5
CPAMD8,-1.2,1.1,-0.8,-0.7
NR2F6,-0.6,-0.4,-0.3,-0.5
ANKLE1,-0.5,-0.4,,0.3
MIX23,-0.3,-0.4,,0.1
VMA21,0.1,0.4,0.4,0.4
KALRN,-0.8,-0.4,-0.8,-1.3
CILP2,,0.2,0.2,0.6
ABCG1,0.7,0.4,0.6,
TFF3,,0.1,0.3,0.2
TFF2,-0.3,-0.3,-0.2,-0.4
TFF1,,-0.1,-0.1,-0.2
TMPRSS3,-0.1,-0.2,,-0.1
UBASH3A,-0.4,-0.4,-0.4,-0.4
RSPH1,-2.1,2.4,-1.5,-2.8
SLC37A1,-1.1,0.1,-0.6,-0.5
PDE9A,,-0.3,0.5,0.9
WDR4,-0.3,-0.3,0.5,0.5
NDUFV3,-0.6,-0.4,-0.2,-0.4
PKNOX1,-0.5,0.1,,1.1
RRP1B,0.5,0.3,0.8,0.9
PDXK,-1.0,-0.3,-1.0,-1.7
G6PD,0.4,-0.1,0.2,-0.3
CSTB,0.3,0.8,0.5,-0.3
RRP1,-0.4,-0.3,-0.1,
AGPAT3,,0.4,-0.3,-0.8
TRAPPC10,-0.2,-0.3,0.1,0.3
GAB3,1.3,0.1,0.8,-0.1
ICOSLG,,-0.3,-0.2,-0.5
AIRE,0.4,0.1,0.2,
CFAP410,-0.7,-0.4,-0.8,-0.3
LRRC3,-0.3,0.2,-0.1,0.2
ITGB2,1.7,0.9,1.3,-0.5
FAM207A,-0.3,-0.1,-0.1,-0.1
FTCD,-0.6,-0.6,-0.6,-0.4
SPATC1L,-0.1,-0.2,-0.2,-0.5
LSS,0.2,0.3,0.2,0.1
VAV2,0.6,0.7,0.7,0.5
MCM3AP,-0.1,-0.1,0.2,0.4
C21orf58,-0.2,,0.4,0.9
PCNT,-0.5,-0.4,,0.5
DIP2A,-0.1,-0.2,0.1,0.4
S100B,0.9,0.1,-0.2,-3.5
PRMT2,0.1,0.6,-0.2,0.1
CLDND2,-0.2,0.1,-0.2,-0.5
ZNF208,0.1,0.1,0.3,0.4
ADAMTS13,-0.7,-0.5,-0.4,-0.1
CACFD1,0.3,0.4,0.3,0.3
SLC2A6,-0.9,-1.3,-1.1,-1.6
FCN2,,0.1,0.1,0.1
C9orf116,-0.6,1.8,-0.2,-0.6
LCN1,-0.4,-0.3,-0.3,-0.3
GPSM1,-0.3,,-0.1,0.4
C19orf47,-0.1,-0.1,-0.1,
HIPK4,-0.3,-0.2,-0.2,-0.1
CFAP157,0.1,1.2,,-0.1
TOR2A,0.2,-0.1,0.2,0.2
SHKBP1,1.0,0.7,0.8,0.5
RDH13,-0.6,-0.7,-0.7,-0.4
ZER1,-1.0,-0.9,-1.2,-1.2
ZDHHC12,0.7,0.3,0.4,-0.2
PKN3,-0.1,0.2,0.4,1.1
SPTBN4,-1.1,-1.5,-1.3,-0.7
BRSK1,-0.9,-1.9,-1.3,-0.5
COX6B2,,,,0.2
TMEM190,-0.1,0.3,,-0.1
NLRP4,0.4,0.2,0.3,
PLPP7,-0.4,-0.8,-0.7,-0.9
TAOK1,-0.1,-0.3,-0.3,-0.1
MED27,-0.1,-0.2,0.1,0.4
DEDD2,-0.9,-0.7,-0.9,-0.5
SIK3,-0.6,-1.3,-1.2,-1.0
MPZL3,-0.1,-0.3,0.1,-0.2
JAML,0.2,-0.1,,-0.1
NEK8,,0.2,0.1,0.1
TLCD1,0.6,,0.3,-1.4
PCSK7,0.3,-0.1,0.2,
SAFB,-0.4,-0.4,-0.2,0.3
CD3G,0.4,0.1,0.3,0.1
S100A1,0.3,-1.8,-1.6,-2.7
CHTOP,-0.2,,0.1,0.5
CXCR5,-0.1,,-0.1,-0.1
ZBTB7B,-0.2,-0.1,-0.3,-0.5
FLAD1,0.2,0.5,0.7,0.8
SHC1,0.7,0.4,0.9,-0.7
VPS11,-0.3,-0.3,-0.4,-0.6
NLRX1,0.4,0.8,0.3,-0.1
ADAR,,0.2,,-0.2
IL6R,0.6,-0.3,-0.2,-1.5
UBE2Q1,-0.4,-0.3,-0.1,-0.2
CHRNB2,-0.3,-0.3,-0.3,-0.2
CRTC2,,-0.1,0.1,
ANO10,0.3,-0.1,-0.2,-0.7
FDPS,0.5,0.4,0.6,0.5
RUSC1,-0.6,-1.1,-0.8,-1.1
GBAP1,0.1,,,-0.3
FAM189B,-0.3,-0.5,-0.1,
PAQR6,-1.7,-0.5,-1.4,-3.5
PMF1,0.6,0.7,0.5,0.8
SLC25A44,-0.6,-0.9,-0.5,-1.1
LMNA,0.8,1.4,0.7,0.1
CCR5,1.2,0.8,1.2,0.3
NBEAL2,-0.2,-0.2,,
CCDC12,-0.3,-0.3,-0.2,
PTH1R,-0.8,-0.2,-0.9,-0.8
UBQLN4,-0.3,-0.4,,0.4
MYL3,,0.1,-0.2,-0.3
PPP1R35,0.2,0.5,0.8,0.7
GPATCH4,0.2,0.1,0.4,-0.5
LRRC71,-0.2,1.4,-0.1,-0.1
FCRL3,0.3,0.3,0.4,0.3
AZGP1,4.5,1.3,1.9,-0.2
FGFR4,,-0.1,,
CYP3A4,0.1,,0.1,0.1
CYP3A7,,-0.1,,
NACC1,-0.1,-0.4,-0.1,-0.7
CYP11B1,-0.1,-0.1,-0.1,
HK3,0.2,0.3,0.6,0.2
LY6K,-0.3,-0.4,-0.4,-0.3
IER2,0.6,0.4,0.7,0.5
ZNF394,0.3,0.3,0.5,0.4
CPSF4,0.3,0.2,0.5,0.5
LY6E,-0.7,-1.0,-0.6,-1.1
VPS28,0.2,0.3,0.1,0.3
TONSL,,0.2,0.4,0.6
PTGER1,-0.3,-0.3,-0.4,-0.2
PWWP3A,-0.2,-1.0,-0.6,-0.8
RECQL4,-0.3,-0.1,0.5,0.9
LRRC14,,-0.2,-0.1,0.2
ZNF333,0.3,0.4,0.4,0.8
COL26A1,-1.9,-2.1,-2.0,-1.4
PPP1R16A,-0.4,1.5,0.3,-0.3
FOXH1,0.1,,,-0.1
ORAI2,0.6,0.4,0.6,0.4
ALKBH4,,-0.2,0.1,0.1
CCDC105,-0.3,-0.3,-0.3,-0.3
SH2B2,0.1,-0.1,0.7,0.9
MRNIP,-0.7,-0.2,-0.6,-0.1
SQSTM1,-0.3,,-0.1,-0.9
MGAT4B,0.2,0.4,0.2,0.1
MAML1,0.1,0.1,0.3,0.9
PGLYRP2,-0.3,-0.3,-0.3,-0.1
LRWD1,,0.2,0.3,0.2
FBXL13,0.4,1.8,0.6,0.3
NAPEPLD,-0.3,-1.0,-0.7,-1.7
SCGB3A1,-0.2,0.1,-0.1,
PSMC2,0.2,0.2,0.6,0.3
CELF5,-2.3,-4.6,-2.9,-2.0
MFSD12,-0.3,-0.6,-0.4,-0.7
ENSG00000161103,0.1,0.1,0.2,0.1
TUBA3FP,-0.2,0.3,-0.2,0.3
